seed,condition,facts,item,depth,stem,correct,wrong,margin
0,cold,A,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.4564125537872314
0,cold,A,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,-0.49300718307495117
0,cold,A,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.5704002380371094
0,cold,A,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.24331188201904297
0,cold,A,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,1.6318316459655762
0,cold,A,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.4583110809326172
0,cold,A,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.746973991394043
0,cold,A,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,-0.0684666633605957
0,cold,A,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.6001067161560059
0,cold,A,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,0.38509559631347656
0,cold,A,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,0.5781831741333008
0,cold,A,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-0.41092872619628906
0,cold,B,0,0.0,The freight siding at Kelder appears on the plan as track,BT11,CW48,18.208227434195578
0,cold,B,1,0.0909,The auxiliary generator was tagged asset number,AV73,MP33,16.109028641600162
0,cold,B,2,0.1818,Feld's field notebook carries catalogue reference,LH51,BS69,18.07269972190261
0,cold,B,3,0.2727,Ansel's transit permit was issued as document number,ET67,BV22,17.23011512355879
0,cold,B,4,0.3636,The winter supply manifest lists lot number,CC50,JM70,16.724660399369895
0,cold,B,5,0.4545,The medical supply locker was closed with seal number,SR23,UF99,18.34034990053624
0,cold,B,6,0.5455,The archive microfilm reel is filed under shelf mark,KT47,LS42,16.918694126885384
0,cold,B,7,0.6364,The meteorological buoy broadcasts on transponder code,LT36,DV66,16.770890082232654
0,cold,B,8,0.7273,The observatory's spare mirror was ordered as part number,VT85,RX62,18.480594214051962
0,cold,B,9,0.8182,The lighthouse relief roster follows schedule,FG33,US49,18.96504219598137
0,cold,B,10,0.9091,The northern relay station operates under callsign,BV94,WM59,22.44351346930489
0,cold,B,11,1.0,The telegraph repeater hut answers to station code,JR18,TY11,17.74340401473455
0,warm,A,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-0.9085710048675537
0,warm,A,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,0.011822223663330078
0,warm,A,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.6972250938415527
0,warm,A,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-1.0910813808441162
0,warm,A,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,1.6375694274902344
0,warm,A,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.7681944370269775
0,warm,A,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,2.4453020095825195
0,warm,A,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,-0.44732666015625
0,warm,A,8,0.7273,The customs declaration quotes reference code,DM65,GF25,1.041365146636963
0,warm,A,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,-0.2198185920715332
0,warm,A,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,1.1841912269592285
0,warm,A,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-0.41767168045043945
0,warm,B,0,0.0,The freight siding at Kelder appears on the plan as track,BT11,CW48,20.329444978851825
0,warm,B,1,0.0909,The auxiliary generator was tagged asset number,AV73,MP33,16.836045563220978
0,warm,B,2,0.1818,Feld's field notebook carries catalogue reference,LH51,BS69,18.569251190871
0,warm,B,3,0.2727,Ansel's transit permit was issued as document number,ET67,BV22,19.25436371390242
0,warm,B,4,0.3636,The winter supply manifest lists lot number,CC50,JM70,17.635053069563583
0,warm,B,5,0.4545,The medical supply locker was closed with seal number,SR23,UF99,20.247745850589126
0,warm,B,6,0.5455,The archive microfilm reel is filed under shelf mark,KT47,LS42,16.614042194793
0,warm,B,7,0.6364,The meteorological buoy broadcasts on transponder code,LT36,DV66,16.284835567930713
0,warm,B,8,0.7273,The observatory's spare mirror was ordered as part number,VT85,RX62,18.38991607981734
0,warm,B,9,0.8182,The lighthouse relief roster follows schedule,FG33,US49,20.034647054737434
0,warm,B,10,0.9091,The northern relay station operates under callsign,BV94,WM59,21.14534315210767
0,warm,B,11,1.0,The telegraph repeater hut answers to station code,JR18,TY11,17.841104695107788
0,mismatched,A,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.752873182296753
0,mismatched,A,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,-0.2701148986816406
0,mismatched,A,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.565000057220459
0,mismatched,A,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-1.0658133029937744
0,mismatched,A,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,0.6642727851867676
0,mismatched,A,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.7287869453430176
0,mismatched,A,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,1.6010112762451172
0,mismatched,A,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,-0.5800013542175293
0,mismatched,A,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.9165558815002441
0,mismatched,A,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,-0.370086669921875
0,mismatched,A,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,0.03129386901855469
0,mismatched,A,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-0.8047733306884766
0,mismatched,B,0,0.0,The freight siding at Kelder appears on the plan as track,BT11,CW48,20.315748407738283
0,mismatched,B,1,0.0909,The auxiliary generator was tagged asset number,AV73,MP33,15.739365991204977
0,mismatched,B,2,0.1818,Feld's field notebook carries catalogue reference,LH51,BS69,17.901815677993
0,mismatched,B,3,0.2727,Ansel's transit permit was issued as document number,ET67,BV22,18.58495106548071
0,mismatched,B,4,0.3636,The winter supply manifest lists lot number,CC50,JM70,16.97592508222442
0,mismatched,B,5,0.4545,The medical supply locker was closed with seal number,SR23,UF99,19.855989192146808
0,mismatched,B,6,0.5455,The archive microfilm reel is filed under shelf mark,KT47,LS42,18.062571672839113
0,mismatched,B,7,0.6364,The meteorological buoy broadcasts on transponder code,LT36,DV66,15.989556051790714
0,mismatched,B,8,0.7273,The observatory's spare mirror was ordered as part number,VT85,RX62,18.86177412152756
0,mismatched,B,9,0.8182,The lighthouse relief roster follows schedule,FG33,US49,20.194628687400836
0,mismatched,B,10,0.9091,The northern relay station operates under callsign,BV94,WM59,21.509532909141853
0,mismatched,B,11,1.0,The telegraph repeater hut answers to station code,JR18,TY11,16.48730797180906
1,cold,A,0,0.0,The cartography office safe opens with combination,EU18,TG74,-0.7766532897949219
1,cold,A,1,0.0909,The lighthouse relief roster follows schedule,JD73,PR55,-1.4272141456604004
1,cold,A,2,0.1818,The sealed crate in the annex is marked with inventory tag,QR93,PM10,0.8180537223815918
1,cold,A,3,0.2727,The telegraph repeater hut answers to station code,NG22,TT89,-1.022024154663086
1,cold,A,4,0.3636,The customs declaration quotes reference code,RA59,VL68,-0.00025463104248046875
1,cold,A,5,0.4545,The seismograph at Ridge Camp reports as instrument,PV10,VA39,0.034091949462890625
1,cold,A,6,0.5455,The archive microfilm reel is filed under shelf mark,DL13,WF80,0.1031494140625
1,cold,A,7,0.6364,The radio operator's logbook continues in volume,AA93,UF21,0.1849961280822754
1,cold,A,8,0.7273,The expedition's spare sledge carries equipment tag,TA58,TJ14,-0.9482421875
1,cold,A,9,0.8182,The quartermaster's tally sheet uses form number,HQ73,XC20,0.8942351341247559
1,cold,A,10,0.9091,The hydrographic chart set reached edition,TH54,AQ11,-1.0460467338562012
1,cold,A,11,1.0,Feld's field notebook carries catalogue reference,HX38,DV33,-1.1338257789611816
1,cold,B,0,0.0,The reserve fuel depot is listed at site code,PT92,MK18,14.863048718310893
1,cold,B,1,0.0909,The botanical specimen case holds accession number,DF90,FF42,14.373416921473108
1,cold,B,2,0.1818,The border checkpoint ledger opens at entry code,PS95,SF94,15.771999921649694
1,cold,B,3,0.2727,The winter supply manifest lists lot number,GK46,JW47,16.02117351582274
1,cold,B,4,0.3636,The mail packet from Vlissen came in pouch number,UR74,RR24,16.372211346402764
1,cold,B,5,0.4545,The medical supply locker was closed with seal number,NU14,AK59,13.611962587572634
1,cold,B,6,0.5455,The harbour pilot's licence shows registration code,RH61,LP34,16.135017726104707
1,cold,B,7,0.6364,The signal lamp housing takes fitting code,PX32,JD42,16.439937515417114
1,cold,B,8,0.7273,The glacier survey stake is recorded as marker,MT99,VP12,16.020973835140467
1,cold,B,9,0.8182,The northern relay station operates under callsign,CQ94,HA60,16.71506519149989
1,cold,B,10,0.9091,The eastern pumping station runs on circuit label,SD30,EB30,15.194759734906256
1,cold,B,11,1.0,The observatory's spare mirror was ordered as part number,SN57,XP79,17.282028637826443
1,warm,A,0,0.0,The cartography office safe opens with combination,EU18,TG74,-0.7230195999145508
1,warm,A,1,0.0909,The lighthouse relief roster follows schedule,JD73,PR55,-1.4575347900390625
1,warm,A,2,0.1818,The sealed crate in the annex is marked with inventory tag,QR93,PM10,0.7149524688720703
1,warm,A,3,0.2727,The telegraph repeater hut answers to station code,NG22,TT89,-1.0103874206542969
1,warm,A,4,0.3636,The customs declaration quotes reference code,RA59,VL68,1.0075774192810059
1,warm,A,5,0.4545,The seismograph at Ridge Camp reports as instrument,PV10,VA39,0.0854330062866211
1,warm,A,6,0.5455,The archive microfilm reel is filed under shelf mark,DL13,WF80,-0.547297477722168
1,warm,A,7,0.6364,The radio operator's logbook continues in volume,AA93,UF21,0.32191038131713867
1,warm,A,8,0.7273,The expedition's spare sledge carries equipment tag,TA58,TJ14,-0.5842313766479492
1,warm,A,9,0.8182,The quartermaster's tally sheet uses form number,HQ73,XC20,1.5799827575683594
1,warm,A,10,0.9091,The hydrographic chart set reached edition,TH54,AQ11,0.604766845703125
1,warm,A,11,1.0,Feld's field notebook carries catalogue reference,HX38,DV33,-0.7212677001953125
1,warm,B,0,0.0,The reserve fuel depot is listed at site code,PT92,MK18,15.163984697544947
1,warm,B,1,0.0909,The botanical specimen case holds accession number,DF90,FF42,14.090749928262085
1,warm,B,2,0.1818,The border checkpoint ledger opens at entry code,PS95,SF94,14.742991116829216
1,warm,B,3,0.2727,The winter supply manifest lists lot number,GK46,JW47,15.157652107998729
1,warm,B,4,0.3636,The mail packet from Vlissen came in pouch number,UR74,RR24,15.327789887902327
1,warm,B,5,0.4545,The medical supply locker was closed with seal number,NU14,AK59,16.600251968484372
1,warm,B,6,0.5455,The harbour pilot's licence shows registration code,RH61,LP34,19.437215337064117
1,warm,B,7,0.6364,The signal lamp housing takes fitting code,PX32,JD42,16.97357872617431
1,warm,B,8,0.7273,The glacier survey stake is recorded as marker,MT99,VP12,18.419322770554572
1,warm,B,9,0.8182,The northern relay station operates under callsign,CQ94,HA60,18.493968601105735
1,warm,B,10,0.9091,The eastern pumping station runs on circuit label,SD30,EB30,14.186983231687918
1,warm,B,11,1.0,The observatory's spare mirror was ordered as part number,SN57,XP79,18.229066296480596
1,mismatched,A,0,0.0,The cartography office safe opens with combination,EU18,TG74,-0.5742297172546387
1,mismatched,A,1,0.0909,The lighthouse relief roster follows schedule,JD73,PR55,-2.1171650886535645
1,mismatched,A,2,0.1818,The sealed crate in the annex is marked with inventory tag,QR93,PM10,0.8265590667724609
1,mismatched,A,3,0.2727,The telegraph repeater hut answers to station code,NG22,TT89,-1.0515813827514648
1,mismatched,A,4,0.3636,The customs declaration quotes reference code,RA59,VL68,1.345046043395996
1,mismatched,A,5,0.4545,The seismograph at Ridge Camp reports as instrument,PV10,VA39,0.07030248641967773
1,mismatched,A,6,0.5455,The archive microfilm reel is filed under shelf mark,DL13,WF80,-0.598175048828125
1,mismatched,A,7,0.6364,The radio operator's logbook continues in volume,AA93,UF21,-0.7488040924072266
1,mismatched,A,8,0.7273,The expedition's spare sledge carries equipment tag,TA58,TJ14,-0.8175015449523926
1,mismatched,A,9,0.8182,The quartermaster's tally sheet uses form number,HQ73,XC20,1.5099730491638184
1,mismatched,A,10,0.9091,The hydrographic chart set reached edition,TH54,AQ11,-0.5426821708679199
1,mismatched,A,11,1.0,Feld's field notebook carries catalogue reference,HX38,DV33,-0.6326956748962402
1,mismatched,B,0,0.0,The reserve fuel depot is listed at site code,PT92,MK18,16.82044157385826
1,mismatched,B,1,0.0909,The botanical specimen case holds accession number,DF90,FF42,14.041486459085718
1,mismatched,B,2,0.1818,The border checkpoint ledger opens at entry code,PS95,SF94,14.442716689780354
1,mismatched,B,3,0.2727,The winter supply manifest lists lot number,GK46,JW47,15.23044853284955
1,mismatched,B,4,0.3636,The mail packet from Vlissen came in pouch number,UR74,RR24,15.631917225429788
1,mismatched,B,5,0.4545,The medical supply locker was closed with seal number,NU14,AK59,16.947624024935067
1,mismatched,B,6,0.5455,The harbour pilot's licence shows registration code,RH61,LP34,18.710863362066448
