seed,condition,facts,item,depth,stem,correct,wrong,margin
0,cold,A,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-2.1961092948913574
0,cold,A,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,0.2152690887451172
0,cold,A,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,1.2488651275634766
0,cold,A,3,0.2727,The eastern pumping station runs on circuit label,MU37,CA25,-0.21859455108642578
0,cold,A,4,0.3636,The radio operator's logbook continues in volume,SE46,WG87,1.206265926361084
0,cold,A,5,0.4545,The survey team's theodolite bears serial number,ED89,UD60,1.6477866172790527
0,cold,A,6,0.5455,The seismograph at Ridge Camp reports as instrument,JT87,CM24,0.042618751525878906
0,cold,A,7,0.6364,The winter quarters roof panel came from batch,LR81,BV12,-0.11351394653320312
0,cold,A,8,0.7273,The customs declaration quotes reference code,DM65,GF25,0.6631741523742676
0,cold,A,9,0.8182,The reserve fuel depot is listed at site code,LV91,RG17,0.47623491287231445
0,cold,A,10,0.9091,The ice core drilling rig was delivered as unit,GT71,PV22,-0.002353668212890625
0,cold,A,11,1.0,The mail packet from Vlissen came in pouch number,QS43,JC38,-0.248992919921875
0,cold,B,0,0.0,The freight siding at Kelder appears on the plan as track,BT11,CW48,19.72464865888469
0,cold,B,1,0.0909,The auxiliary generator was tagged asset number,AV73,MP33,17.602173178223893
0,cold,B,2,0.1818,Feld's field notebook carries catalogue reference,LH51,BS69,19.629269749158993
0,cold,B,3,0.2727,Ansel's transit permit was issued as document number,ET67,BV22,18.33549996383954
0,cold,B,4,0.3636,The winter supply manifest lists lot number,CC50,JM70,18.33407624764368
0,cold,B,5,0.4545,The medical supply locker was closed with seal number,SR23,UF99,19.202106077224016
0,cold,B,6,0.5455,The archive microfilm reel is filed under shelf mark,KT47,LS42,16.710833358112723
0,cold,B,7,0.6364,The meteorological buoy broadcasts on transponder code,LT36,DV66,17.9811335101258
0,cold,B,8,0.7273,The observatory's spare mirror was ordered as part number,VT85,RX62,18.98954109137412
0,cold,B,9,0.8182,The lighthouse relief roster follows schedule,FG33,US49,19.788349573791493
0,cold,B,10,0.9091,The northern relay station operates under callsign,BV94,WM59,21.534655735478736
0,cold,B,11,1.0,The telegraph repeater hut answers to station code,JR18,TY11,18.72992014477495
0,warm,A,0,0.0,The quartermaster's tally sheet uses form number,NP15,PB22,-1.5259437561035156
0,warm,A,1,0.0909,The diesel storage tank is stencilled vessel number,JS72,BU91,-1.0471763610839844
0,warm,A,2,0.1818,The harbour pilot's licence shows registration code,NK71,TV97,0.16718196868896484
